Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9562043795620438,0.9574225531485226,0.9562043795620438,0.9559630015834395
Random Forest,0.9708029197080292,0.9710829181632102,0.9708029197080292,0.9707292867204506
